timestamp,micro_web_transaction_time,micro_vus,mono_web_transaction_time,mono_vus,hybrid_web_transaction_time,hybrid_vus,dist_micro_web_transaction_time,dist_micro_vus,dist_mono_web_transaction_time,dist_mono_vus,dist_hybrid_web_transaction_time,dist_hybrid_vus
35,11873.944994433336,122.0,33763.83007386666,122.0,9777.077471866667,122.0,8140.418924133335,122.0,11778.259286566665,122.0,24305.654416899997,122.0
36,18361.6493259,127.0,57731.69359983333,127.0,12544.943304666665,127.0,10716.961528799995,127.0,7582.120995966665,127.0,32370.546550233328,127.0
37,13681.497428666666,132.0,20019.357833299997,132.0,14107.871037033336,132.0,5741.559188199998,132.0,6855.763704666667,132.0,25815.762309066668,132.0
38,13159.070301899996,137.0,27155.38124183334,137.0,17016.428457000005,137.0,5078.713476633332,137.0,6986.371077733335,137.0,48915.50509503333,137.0
39,15803.232797166671,142.0,20028.923665300004,142.0,25147.87566686667,142.0,5353.524321499999,142.0,7906.489384600001,142.0,72418.23494606667,142.0
40,13460.392171033336,147.0,20314.176483033327,147.0,17177.92391003334,147.0,6099.0073636,147.0,5878.987026899998,147.0,29763.21287603333,147.0
41,9521.250097566668,152.0,22177.360327033337,152.0,16648.614823699998,152.0,5246.560567766665,152.0,8552.293035,152.03333333333333,71191.26208516667,152.0
42,9669.6471424,157.0,27582.841552500005,157.0,18247.98943303333,157.0,5671.122533566666,157.0,12323.2834212,157.0,57094.52019576666,157.0
43,14686.450957633333,162.0,32399.571496466677,162.0,17558.373770066668,162.0,11357.622980766664,162.0,10471.687078666668,162.0,27622.618164999996,162.0
44,9861.95970613333,167.0,28749.579995333348,167.0,17695.175998933333,167.0,5487.733122100001,167.0,11487.861747866666,167.0,118458.75476069997,167.0
45,13406.310604566668,172.0,31957.738897733332,172.0,34454.117770966666,172.0,10437.70495873333,172.0,7115.759249466669,172.0,39174.696033966655,172.0
46,16668.32827953334,177.0,39302.997164633336,177.0,43982.944717466664,177.0,13093.659952533331,177.0,10132.701799333334,177.0,61197.009750400015,177.0
47,13363.887603099998,182.0,32050.14013513334,182.0,24815.518402233334,182.0,5691.2493696,182.0,9401.490565900001,182.0,120596.99952826668,182.0
48,12538.109732299996,187.0,33233.5593255,187.03333333333333,19841.407244266662,187.0,11372.04623446667,187.0,10080.482874000001,187.0,44999.27468613333,187.0
49,11516.235386666665,192.0,32711.117369666677,192.0,22675.710116266666,192.0,20192.27986826666,192.0,9753.7530895,192.0,130002.29857606666,192.0
50,12320.386372166668,197.0,39019.62819293334,197.0,22609.824833100003,197.0,9112.206429566666,197.0,10240.650717999999,197.0,106692.81591056669,197.0
51,14158.482633933336,190.66666666666666,39594.7976146,190.76666666666668,21882.756778600004,190.66666666666666,8935.152648733336,190.7,8688.025586966662,190.6,82222.42544410002,190.86666666666667
52,10251.130584566667,170.7,31010.898924666675,170.83333333333334,25026.901276900007,170.73333333333332,7467.874819899998,170.63333333333333,12185.458750433338,170.53333333333333,50578.67709106666,170.86666666666667
53,11033.04287326667,150.63333333333333,25450.616442900002,150.66666666666666,20564.29867703333,150.7,6207.461543833333,150.63333333333333,21496.67479156667,150.73333333333332,93076.61782673333,151.23333333333332
54,8412.184421400001,130.5,26508.575337166665,130.73333333333332,13629.4541863,130.66666666666666,4700.838096,130.73333333333332,20814.984731566663,130.7,26735.702278433335,130.6
55,7144.129191800002,110.56666666666666,23522.602603400002,110.56666666666666,9210.671081933335,110.66666666666667,6824.954765266667,110.6,7836.7723584000005,110.53333333333333,25931.796124899993,110.63333333333334
56,6576.378119099999,90.73333333333333,17891.784149266663,90.66666666666667,11807.8522081,90.6,4395.5949765333335,90.56666666666666,4038.068173599999,90.56666666666666,22039.89175503333,90.76666666666667
57,6416.712243000001,70.63333333333334,8392.867342866664,70.56666666666666,6951.613078133332,70.7,2855.061097266667,70.6,2846.3505495000004,70.6,11363.528595466667,70.66666666666667
58,3567.9187371000007,50.666666666666664,4889.728430899998,50.56666666666667,4338.378585366666,50.6,3057.1293664666664,50.666666666666664,2448.9188873666662,50.5,6252.0776746,50.7
59,1656.3015185000004,30.633333333333333,3180.0256391000007,30.666666666666668,2285.2601587666663,30.633333333333333,2063.4534031333333,30.566666666666666,2209.219904333333,30.533333333333335,5253.0560884999995,30.7
60,611.8454898000001,10.633333333333333,1291.8424373999999,10.5,468.5924571333334,10.633333333333333,676.5137426666665,10.6,696.5838891666666,10.533333333333333,1322.8101537,10.5
