timestamp,micro_response_time,micro_vus,mono_response_time,mono_vus,hybrid_response_time,hybrid_vus,dist_micro_response_time,dist_micro_vus,dist_mono_response_time,dist_mono_vus,dist_hybrid_response_time,dist_hybrid_vus
16,88.40739649999998,51.8,70.44256229999999,51.8,115.11786979999997,51.8,60.4204673,51.8,119.86113679999998,51.8,115.80275359999999,51.8
17,49.29202589999999,55.2,69.0933899,55.2,173.686619,55.2,21.720547200000002,55.2,146.65327569999997,55.2,129.4481054,55.2
18,53.5877466,58.5,76.0094912,58.5,464.120183,58.5,28.663813200000003,58.5,201.11771649999997,58.5,146.6353909,58.5
19,133.3793447,61.8,85.10223370000001,61.8,145.31185589999998,61.8,57.0716421,61.8,60.9586843,61.8,163.3211432,61.8
20,43.4827305,64.9,90.7812782,65.0,176.705731,64.9,101.3398271,65.0,84.48950070000001,65.0,134.9564446,65.0
21,63.8957746,68.2,55.3741386,68.2,140.551756,68.2,43.938544799999995,68.2,88.50456229999999,68.2,131.6807723,68.2
22,109.92322439999998,71.5,91.09493810000001,71.5,111.5344373,71.5,24.601119999999998,71.5,263.0582876,71.5,108.6781822,71.5
23,126.34678939999999,74.8,49.8559578,74.8,55.24015039999999,74.8,53.2116088,74.8,152.1690331,74.8,113.9559612,74.8
24,208.4149515,78.2,64.1180085,78.2,74.8050885,78.2,35.9200795,78.2,299.6739334,78.2,137.96385709999998,78.2
25,109.33705650000002,81.5,99.5045335,81.5,143.9194799,81.5,73.24125040000001,81.5,1048.0309498,81.5,96.34079789999998,81.5
26,129.0706682,84.8,102.21235709999999,84.8,115.30699229999998,84.8,91.80084109999999,84.8,202.4700116,84.8,130.311879,84.8
27,153.4472821,88.2,77.3104875,88.2,117.32709029999998,88.2,59.629136,88.2,566.4397844,88.2,126.7585486,88.2
28,140.88607789999998,91.5,102.39436800000001,91.5,159.55148820000002,91.5,20.2379635,91.5,79.7420542,91.5,146.52159369999998,91.5
29,245.21937740000004,94.8,123.48176839999999,94.8,117.39755599999998,94.8,53.077604099999995,94.8,47.6854248,94.8,114.34908710000002,94.8
30,107.35205260000001,97.9,155.63515740000003,98.0,96.43338490000001,97.8,208.91659369999996,98.0,29.578139400000005,98.0,123.65824470000003,98.0
31,105.26477180000002,100.0,90.67823279999999,100.0,110.06004940000003,100.0,69.36994589999999,100.0,255.4136258,100.0,155.6486164,100.0
32,103.2123836,100.0,97.76802899999998,100.0,73.16870250000001,100.0,40.32460879999999,100.0,62.4026036,100.0,119.4535087,100.0
33,113.52493380000001,100.0,138.83518729999997,100.0,107.1691237,100.0,109.8338236,100.0,213.1760729,100.0,156.78398169999997,100.0
34,86.2646523,100.0,90.4896715,100.0,393.6911976,100.0,72.2596513,100.0,77.01734619999999,100.0,100.32784239999998,100.0
35,95.7286413,100.0,166.029892,100.0,125.51882679999999,100.0,102.301908,100.0,42.9643299,100.0,141.3334825,100.0
36,40.8894362,100.0,176.04008789999997,100.0,207.93004009999999,100.0,130.72408760000002,100.0,231.54689690000004,100.0,115.071495,100.0
37,37.806240900000006,100.0,159.6499417,100.0,250.22614729999995,100.0,52.3681693,100.0,160.9257057,100.0,139.3644238,100.0
38,68.7206242,100.0,163.34594969999998,100.0,119.6519753,100.0,123.0389856,100.0,369.32746779999997,100.0,197.2731722,100.0
39,250.85225580000002,100.0,128.1907471,100.0,68.54325839999998,100.0,52.9856447,100.0,206.0346728,100.0,135.4016131,100.0
40,46.4140835,100.0,135.0832121,100.0,101.2995395,100.0,42.04442150000001,100.0,256.78804510000003,100.0,95.88247240000001,100.0
41,69.79736450000001,100.0,87.2600685,100.0,97.93761450000002,100.0,39.5935827,100.0,72.1124117,100.0,149.5273487,100.0
42,57.4826012,100.0,277.04038920000005,100.0,29.506609299999997,100.0,38.9906492,100.0,41.32481940000001,100.0,98.0422404,100.0
43,27.0826031,100.0,127.93126109999999,100.0,50.0032858,100.0,165.1992405,100.0,55.02196680000001,100.0,146.0023706,100.0
44,30.5143584,100.0,134.65162459999996,100.0,90.7769124,100.0,147.72034430000002,100.0,104.3177715,100.0,115.94614120000001,100.0
45,55.374091699999994,100.0,99.82677659999999,100.0,54.044309399999996,100.0,70.6055719,100.0,74.2073399,100.0,112.96969010000001,100.0
46,127.97119939999997,100.0,119.8577744,100.0,48.947818500000004,100.0,103.7649467,100.0,32.6229158,100.0,145.866856,100.0
47,30.729424,100.0,74.7291332,100.0,55.297378800000004,100.0,131.63152330000003,100.0,68.4900824,100.0,180.99203600000004,100.0
48,91.2612502,100.0,107.29970590000002,100.0,93.6455075,100.0,187.5589632,100.0,224.5975383,100.0,178.00161260000004,100.0
